,f_regr,p-value,kendall,p_kendall,kendall significant,RL score,RL ranking,Boruta score,Boruta ranking
Otu000005,6.526974222808573,0.01317986655593106,0.23215230037017454,0.007664061217289074,yes,0.774,1.0,0.18618579239254152,1
Otu000012,10.194062229158353,0.00224444810716162,-0.3484928609201481,6.259195092036452e-05,yes,0.246,67.0,0.07844356408028381,1
Otu000017,23.9303824996956,7.841383331190675e-06,0.4257006874669487,1.0102269176494329e-06,yes,0.626,5.0,0.22193420682341802,1
Otu003366,13.002485281442178,0.0006341793277826953,0.2511898466419884,0.003911789324516153,yes,0.686,4.0,0.06764872293381995,2
Otu000459,10.899257248214443,0.0016234376791980712,0.24167107350608147,0.005505669316548916,yes,0.426,24.0,0.06372102846899658,3
Otu000041,2.7071064700102676,0.10513142751225679,-0.10100475938656797,0.24598789438193114,no,0.276,57.0,0.04832477653550006,4
Otu000136,7.908938911079076,0.0066380935387793044,-0.18667371760973034,0.032020800203324117,yes,0.398,30.0,0.032216319636258636,5
Otu000267,6.357778807731929,0.014360624707232338,-0.18773135906927554,0.03106032271198976,yes,0.402,29.0,0.013943343699774262,7
Otu001142,5.8630543888676385,0.01850258984029263,0.19725013220518245,0.023473893154203864,yes,0.268,59.0,0.01829055047836095,7
Otu000025,13.543581991312529,0.0005008755014895177,0.2966684294024326,0.0006554652469371023,yes,0.316,49.0,0.014703278693724032,7
Otu000323,5.903201975248845,0.0181233054756029,-0.17503966155473297,0.04437606843345444,yes,0.564,8.0,0.010961606930530186,9
Otu000056,5.566316875014263,0.021581565054348443,-0.06187202538339504,0.4772902611997323,no,0.564,8.0,0.00994786319169435,10
Otu000010,1.924414054794289,0.1705024645236642,0.10100475938656797,0.24598789438193114,no,0.126,80.0,0.007070541572457386,11
Otu001318,0.821492701194121,0.36836969115851814,0.11369645690111055,0.1915771852565088,no,0.44,17.0,0.006657423496664158,12
Otu001345,5.544791817502831,0.021825182033496097,-0.16023268112109995,0.06570267080095522,no,0.318,48.0,0.005718396393999125,13
Otu004590,0.741201892700002,0.39270357437374503,0.13061872025383398,0.13353717534856532,no,0.332,47.0,0.005333207692197414,14
Otu000246,0.567009869024938,0.4543940380241882,-0.03014278159703861,0.7291753851156607,no,0.334,45.0,0.004590986192982502,14
Otu000019,0.0424998346964191,0.8373678701915479,0.03966155473294554,0.6487091932544818,no,0.348,41.0,0.005502476152908602,16
Otu000075,5.300877812425734,0.024799952684010283,-0.2585933368588049,0.0029758074404713122,yes,0.488,12.0,0.006352978282186585,17
Otu000931,0.009936406744385855,0.9209294816613086,0.017451084082496036,0.841132804108627,no,0.264,62.0,0.004600603460213698,19
Otu000179,1.4807877475235145,0.22841629748201892,0.05658381808566896,0.5157395376134755,no,0.378,36.0,0.004867217070644306,19
Otu000262,4.167201790460342,0.04561883960683822,-0.2120571126388155,0.014862726381484934,yes,0.696,3.0,0.00483693424069944,19
Otu000083,2.2423756316873877,0.13951715806937698,-0.10100475938656797,0.24598789438193114,no,0.3,52.0,0.004919627896802721,21
Otu000058,6.462438994391406,0.01361763866208937,-0.2215758857747224,0.010926513726306278,yes,0.216,72.0,0.005395516311778176,21
Otu001451,0.15966802023122095,0.6908812445552186,0.02379693283976732,0.7845967275754077,no,0.428,22.0,0.003875079865685135,23
Otu000509,1.0874020292166935,0.30123103430655074,-0.03860391327340032,0.6574706719780812,no,0.396,32.0,0.004199553584177074,24
Otu000682,7.117102775934804,0.009802874139591558,0.17715494447382338,0.04186924985014155,yes,0.398,30.0,0.005128468045287312,25
Otu000042,0.12878202643836487,0.7209579728469049,0.03437334743521946,0.692979190799845,no,0.292,54.0,0.0034265749036867387,26
Otu000022,4.229889801868695,0.044074089958377916,0.17609730301427817,0.043107260896887455,yes,0.386,35.0,0.0038858028244596887,27
Otu001059,0.18475195744520514,0.6688606771512728,0.03860391327340032,0.6574706719780812,no,0.344,44.0,0.003665552356078653,27
Otu002498,0.6047360755827687,0.43983228963965715,0.054468535166578534,0.5315573786883039,no,0.704,2.0,0.0034895399105478865,29
Otu000810,2.0227997115060115,0.1601312444855193,0.15177154944473825,0.081287952037921,no,0.468,15.0,0.0035725381078305445,30
Otu001264,2.4744643935676076,0.12096770030345821,-0.10840824960338447,0.2130631061543815,no,0.588,7.0,0.0027027424323498653,31
Otu002215,3.6312735194718475,0.06149801946191941,0.17186673717609732,0.048373035934335624,yes,0.356,39.0,0.003326451955764606,32
